Flujo_ton_h,m_dot_kg_s,Q_dot_kW,U_prom_W/m2K,LMTD_C,A_req_m2,A_req_m2_redondeado,L_req_m,Cp_prom_J/kgK
1,0.2777777777777778,18.791503858186665,30.313443314963422,31.321843023539486,19.791511269689796,19.8,165.13568018097453,2114.044184046
2,0.5555555555555556,37.58300771637333,30.313443314963422,31.321843023539486,39.58302253937959,39.6,330.27136036194906,2114.044184046
3,0.8333333333333334,56.374511574559996,30.313443314963422,31.321843023539486,59.3745338090694,59.4,495.4070405429237,2114.044184046
4,1.1111111111111112,75.16601543274666,30.313443314963422,31.321843023539486,79.16604507875918,79.2,660.5427207238981,2114.044184046
5,1.3888888888888888,93.95751929093333,30.313443314963422,31.321843023539486,98.95755634844899,99.0,825.6784009048728,2114.044184046
6,1.6666666666666667,112.74902314911999,30.313443314963422,31.321843023539486,118.7490676181388,118.7,990.8140810858474,2114.044184046
7,1.9444444444444444,131.54052700730665,30.313443314963422,31.321843023539486,138.5405788878286,138.5,1155.949761266822,2114.044184046
8,2.2222222222222223,150.33203086549332,30.313443314963422,31.321843023539486,158.33209015751837,158.3,1321.0854414477963,2114.044184046
9,2.5,169.12353472368,30.313443314963422,31.321843023539486,178.1236014272082,178.1,1486.2211216287712,2114.044184046
10,2.7777777777777777,187.91503858186667,30.313443314963422,31.321843023539486,197.91511269689798,197.9,1651.3568018097455,2114.044184046
11,3.0555555555555554,206.7065424400533,30.313443314963422,31.321843023539486,217.70662396658776,217.7,1816.4924819907199,2114.044184046
12,3.3333333333333335,225.49804629823998,30.313443314963422,31.321843023539486,237.4981352362776,237.5,1981.6281621716948,2114.044184046
13,3.611111111111111,244.28955015642666,30.313443314963422,31.321843023539486,257.28964650596737,257.3,2146.763842352669,2114.044184046
14,3.888888888888889,263.0810540146133,30.313443314963422,31.321843023539486,277.0811577756572,277.1,2311.899522533644,2114.044184046
15,4.166666666666667,281.8725578728,30.313443314963422,31.321843023539486,296.872669045347,296.9,2477.0352027146187,2114.044184046
16,4.444444444444445,300.66406173098665,30.313443314963422,31.321843023539486,316.66418031503673,316.7,2642.1708828955925,2114.044184046
